1,1,1666.67,600
1,2,1345.90,743
1,3,1132.50,883
1,1,1709.40,585
1,2,1373.63,728
1,3,1153.40,867
1,1,1703.58,587
1,2,1383.13,723
1,3,1149.43,870
1,1,1727.12,579
1,2,1398.60,715
1,3,1170.96,854
1,1,1721.17,581
1,2,1392.76,718
1,3,1166.86,857
1,1,1727.12,579
1,2,1398.60,715
1,3,1161.44,861
1,1,1724.14,580
1,2,1383.13,723
1,3,1158.75,863
1,1,1709.40,585
1,2,1386.96,721
1,3,1161.44,861
1,1,1724.14,580
1,2,1381.22,724
1,3,1158.75,863
1,1,1709.40,585
1,2,1385.04,722
1,3,1161.44,861
1,1,1724.14,580
1,2,1383.13,723
1,3,1158.75,863
1,1,1709.40,585
1,2,1386.96,721
1,3,1162.79,860
1,1,1724.14,580
1,2,1383.13,723
1,3,1168.22,856
1,1,1709.40,585
1,2,1385.04,722
1,3,1161.44,861
1,1,1721.17,581
1,2,1394.70,717
1,3,1166.86,857
1,1,1709.40,585
1,2,1386.96,721
1,3,1162.79,860
1,1,1721.17,581
1,2,1392.76,718
1,3,1165.50,858
1,1,1727.12,579
1,2,1398.60,715
1,3,1161.44,861
1,1,1703.58,587
1,2,1383.13,723
1,3,1150.75,869
1,1,1712.33,584
1,2,1386.96,721
1,3,1154.73,866
1,1,1721.17,581
1,2,1381.22,724
1,3,1157.41,864
1,1,1727.12,579
1,2,1385.04,722
1,3,1169.59,855
1,1,1721.17,581
1,2,1392.76,718
1,3,1166.86,857
1,1,1727.12,579
1,2,1386.96,721
1,3,1161.44,861
1,1,1724.14,580
1,2,1383.13,723
1,3,1158.75,863
1,1,1727.12,579
1,2,1385.04,722
1,3,1161.44,861
1,1,1721.17,581
1,2,1394.70,717
1,3,1158.75,863
1,1,1730.10,578
1,2,1386.96,721
1,3,1161.44,861
1,1,1721.17,581
1,2,1392.76,718
1,3,1157.41,864
1,1,1709.40,585
1,2,1373.63,728
1,3,1153.40,867
1,1,1724.14,580
1,2,1383.13,723
1,3,1158.75,863
1,1,1730.10,578
1,2,1386.96,721
1,3,1162.79,860
1,1,1724.14,580
1,2,1383.13,723
1,3,1158.75,863
1,1,1709.40,585
1,2,1385.04,722
1,3,1153.40,867
1,1,1724.14,580
1,2,1383.13,723
1,3,1158.75,863
1,1,1712.33,584
1,2,1386.96,721
1,3,1162.79,860
1,1,1706.48,586
